Date,Price,Open,High,Low,Vol.,Change %,Index
2/22/2015,"2,104.50","2,109.80","2,119.60","2,103.00",,-0.27%,S&P 500
2/15/2015,"2,110.30","2,096.50","2,110.60","2,085.40",,0.63%,S&P 500
2/8/2015,"2,097.00","2,053.50","2,097.00","2,041.90",,2.02%,S&P 500
2/1/2015,"2,055.50","1,996.70","2,072.40","1,980.90",,3.03%,S&P 500
1/25/2015,"1,995.00","2,050.40","2,057.60","1,989.20",,-2.77%,S&P 500
1/18/2015,"2,051.80","2,020.80","2,064.60","2,004.50",,1.60%,S&P 500
1/11/2015,"2,019.40","2,046.10","2,056.90","1,988.10",,-1.24%,S&P 500
1/4/2015,"2,044.80","2,054.40","2,064.40","1,992.40",,-0.65%,S&P 500
12/28/2014,"2,058.20","2,087.60","2,093.60","2,046.00",,-1.46%,S&P 500
12/21/2014,"2,088.80","2,069.30","2,092.70","2,069.30",,0.87%,S&P 500
12/14/2014,"2,070.70","2,005.00","2,077.80","1,972.60",,3.42%,S&P 500
12/7/2014,"2,002.30","2,074.80","2,075.80","2,002.30",,-3.52%,S&P 500
11/30/2014,"2,075.40","2,065.80","2,079.50","2,049.60",,0.38%,S&P 500
11/23/2014,"2,067.60","2,065.10","2,075.80","2,064.80",,0.20%,S&P 500
11/16/2014,"2,063.50","2,038.30","2,071.50","2,034.50",,1.16%,S&P 500
11/9/2014,"2,039.80","2,032.00","2,046.20","2,030.20",,0.39%,S&P 500
11/2/2014,"2,031.90","2,018.20","2,034.30","2,001.00",,0.69%,S&P 500
10/26/2014,"2,018.00","1,963.00","2,018.20","1,951.40",,2.72%,S&P 500
10/19/2014,"1,964.60","1,885.60","1,965.30","1,882.30",,4.12%,S&P 500
10/12/2014,"1,886.80","1,905.70","1,912.10","1,820.70",,-1.01%,S&P 500
10/5/2014,"1,906.10","1,970.00","1,977.80","1,906.00",,-3.14%,S&P 500
9/28/2014,"1,967.90","1,979.00","1,985.20","1,926.00",,-0.75%,S&P 500
9/21/2014,"1,982.80","2,009.10","2,009.10","1,966.00",,-1.37%,S&P 500
9/14/2014,"2,010.40","1,986.00","2,019.30","1,978.50",,1.25%,S&P 500
9/7/2014,"1,985.50","2,007.20","2,007.20","1,980.30",,-1.11%,S&P 500
8/31/2014,"2,007.70","2,004.10","2,011.20","1,990.10",,0.21%,S&P 500
8/24/2014,"2,003.40","1,991.70","2,005.00","1,990.50",,0.75%,S&P 500
8/17/2014,"1,988.40","1,958.40","1,994.80","1,958.40",,1.70%,S&P 500
8/10/2014,"1,955.10","1,933.40","1,964.00","1,928.30",,1.22%,S&P 500
8/3/2014,"1,931.60","1,926.60","1,942.90","1,904.80",,0.33%,S&P 500
7/27/2014,"1,925.20","1,978.20","1,984.80","1,916.40",,-2.68%,S&P 500
7/20/2014,"1,978.30","1,976.90","1,991.40","1,965.80",,0.01%,S&P 500
7/13/2014,"1,978.20","1,969.90","1,983.90","1,955.60",,0.54%,S&P 500
7/6/2014,"1,967.60","1,984.20","1,984.20","1,952.90",,-0.90%,S&P 500
6/29/2014,"1,985.40","1,960.80","1,985.60","1,958.20",,1.24%,S&P 500
6/22/2014,"1,961.00","1,962.90","1,968.20","1,944.70",,-0.10%,S&P 500
6/15/2014,"1,962.90","1,934.80","1,963.90","1,930.90",,1.38%,S&P 500
6/8/2014,"1,936.20","1,949.00","1,955.50","1,925.80",,-0.68%,S&P 500
6/1/2014,"1,949.40","1,923.90","1,949.40","1,916.00",,1.34%,S&P 500
5/25/2014,"1,923.60","1,902.00","1,924.00","1,902.00",,1.22%,S&P 500
5/18/2014,"1,900.50","1,876.70","1,901.30","1,868.10",,1.20%,S&P 500
5/11/2014,"1,877.90","1,880.00","1,902.20","1,862.40",,-0.03%,S&P 500
5/4/2014,"1,878.50","1,879.50","1,889.10","1,859.80",,-0.14%,S&P 500
4/27/2014,"1,881.10","1,865.00","1,891.30","1,850.60",,0.95%,S&P 500
4/20/2014,"1,863.40","1,865.80","1,884.90","1,859.70",,-0.08%,S&P 500
4/13/2014,"1,864.80","1,818.20","1,869.60","1,815.80",,2.70%,S&P 500
4/6/2014,"1,815.70","1,863.90","1,872.50","1,814.40",,-2.65%,S&P 500
3/30/2014,"1,865.10","1,859.20","1,897.30","1,859.20",,0.40%,S&P 500
3/23/2014,"1,857.60","1,867.70","1,875.90","1,842.10",,-0.48%,S&P 500
3/16/2014,"1,866.50","1,842.80","1,884.00","1,842.80",,1.38%,S&P 500
3/9/2014,"1,841.10","1,877.90","1,882.30","1,839.60",,-1.96%,S&P 500
3/2/2014,"1,878.00","1,857.70","1,883.60","1,834.40",,0.99%,S&P 500
2/23/2014,"1,859.50","1,836.80","1,867.90","1,836.80",,1.27%,S&P 500
2/16/2014,"1,836.20","1,839.00","1,847.50","1,824.60",,-0.13%,S&P 500
2/9/2014,"1,838.60","1,796.20","1,841.70","1,791.80",,2.31%,S&P 500
2/2/2014,"1,797.00","1,782.70","1,798.00","1,737.90",,0.81%,S&P 500
1/26/2014,"1,782.60","1,791.00","1,798.80","1,770.50",,-0.43%,S&P 500
1/19/2014,"1,790.30","1,841.00","1,849.30","1,790.30",,-2.63%,S&P 500
1/12/2014,"1,838.70","1,841.30","1,850.80","1,815.50",,-0.20%,S&P 500
1/5/2014,"1,842.40","1,832.30","1,843.20","1,823.70",,0.60%,S&P 500
12/29/2013,"1,831.40","1,841.50","1,849.40","1,827.70",,-0.54%,S&P 500
12/22/2013,"1,841.40","1,822.90","1,844.90","1,822.90",,1.27%,S&P 500
12/15/2013,"1,818.30","1,777.50","1,823.80","1,768.00",,2.42%,S&P 500
12/8/2013,"1,775.30","1,806.20","1,811.50","1,772.30",,-1.65%,S&P 500
12/1/2013,"1,805.10","1,806.50","1,810.00","1,779.10",,-0.04%,S&P 500
11/24/2013,"1,805.80","1,806.30","1,813.50","1,800.60",,0.06%,S&P 500
11/17/2013,"1,804.80","1,798.80","1,804.80","1,777.20",,0.37%,S&P 500
11/10/2013,"1,798.20","1,770.00","1,798.20","1,760.60",,1.56%,S&P 500
11/3/2013,"1,770.60","1,763.40","1,774.50","1,746.20",,0.51%,S&P 500
10/27/2013,"1,761.60","1,759.40","1,775.20","1,752.70",,0.10%,S&P 500
10/20/2013,"1,759.80","1,745.20","1,759.80","1,740.50",,0.88%,S&P 500
10/13/2013,"1,744.50","1,699.90","1,745.30","1,692.10",,2.42%,S&P 500
10/6/2013,"1,703.20","1,687.20","1,703.40","1,646.50",,0.75%,S&P 500
9/29/2013,"1,690.50","1,687.30","1,696.50","1,670.40",,-0.08%,S&P 500
9/22/2013,"1,691.80","1,711.40","1,711.40","1,687.10",,-1.06%,S&P 500
9/15/2013,"1,709.90","1,691.70","1,729.90","1,691.70",,1.30%,S&P 500
9/8/2013,"1,688.00","1,656.80","1,690.00","1,656.80",,1.98%,S&P 500
9/1/2013,"1,655.20","1,636.00","1,664.80","1,633.40",,1.36%,S&P 500
8/25/2013,"1,633.00","1,664.30","1,669.50","1,627.50",,-1.83%,S&P 500
8/18/2013,"1,663.50","1,655.20","1,664.80","1,639.40",,0.47%,S&P 500
8/11/2013,"1,655.80","1,688.40","1,696.80","1,652.60",,-2.10%,S&P 500
8/4/2013,"1,691.40","1,708.00","1,709.20","1,684.90",,-1.07%,S&P 500
7/28/2013,"1,709.70","1,690.30","1,709.70","1,681.90",,1.06%,S&P 500
7/21/2013,"1,691.70","1,694.40","1,698.80","1,676.00",,-0.02%,S&P 500
7/14/2013,"1,692.10","1,679.60","1,693.10","1,671.80",,0.71%,S&P 500
7/7/2013,"1,680.20","1,634.20","1,680.20","1,634.20",,2.96%,S&P 500
6/30/2013,"1,631.90","1,609.80","1,632.10","1,604.60",,1.59%,S&P 500
6/23/2013,"1,606.30","1,588.80","1,620.10","1,560.30",,0.87%,S&P 500
6/16/2013,"1,592.40","1,630.60","1,654.20","1,577.70",,-2.11%,S&P 500
6/9/2013,"1,626.70","1,644.70","1,648.70","1,608.10",,-1.02%,S&P 500
6/2/2013,"1,643.40","1,631.70","1,646.50","1,598.20",,0.78%,S&P 500
5/26/2013,"1,630.70","1,652.60","1,674.20","1,630.70",,-1.15%,S&P 500
5/19/2013,"1,649.60","1,665.70","1,687.20","1,635.50",,-1.07%,S&P 500
5/12/2013,"1,667.50","1,632.10","1,667.50","1,626.70",,2.07%,S&P 500
5/5/2013,"1,633.70","1,614.40","1,635.00","1,614.20",,1.20%,S&P 500
4/28/2013,"1,614.40","1,582.30","1,618.50","1,581.30",,2.04%,S&P 500
4/21/2013,"1,582.20","1,555.20","1,592.60","1,548.20",,1.74%,S&P 500
4/14/2013,"1,555.20","1,588.80","1,588.80","1,536.00",,-2.11%,S&P 500
4/7/2013,"1,588.80","1,553.30","1,597.30","1,548.60",,2.29%,S&P 500
3/31/2013,"1,553.30","1,569.20","1,573.70","1,539.50",,-1.01%,S&P 500
3/24/2013,"1,569.20","1,556.90","1,570.30","1,546.20",,0.79%,S&P 500
3/17/2013,"1,556.90","1,560.70","1,561.60","1,538.60",,-0.24%,S&P 500
3/10/2013,"1,560.70","1,551.20","1,563.60","1,547.40",,0.61%,S&P 500
3/3/2013,"1,551.20","1,518.20","1,552.50","1,512.30",,2.17%,S&P 500
2/24/2013,"1,518.20","1,515.60","1,525.80","1,485.00",,0.17%,S&P 500
2/17/2013,"1,515.60","1,519.80","1,530.90","1,497.30",,-0.28%,S&P 500
2/10/2013,"1,519.80","1,517.90","1,524.70","1,513.60",,0.13%,S&P 500
2/3/2013,"1,517.90","1,513.20","1,518.30","1,495.00",,0.31%,S&P 500
1/27/2013,"1,513.20","1,503.00","1,514.40","1,496.30",,0.68%,S&P 500
1/20/2013,"1,503.00","1,486.00","1,503.30","1,481.20",,1.14%,S&P 500
1/13/2013,"1,486.00","1,472.00","1,486.00","1,463.80",,0.95%,S&P 500
1/6/2013,"1,472.00","1,466.50","1,472.80","1,451.60",,0.38%,S&P 500
12/30/2012,"1,466.50","1,402.40","1,467.90","1,398.10",,4.57%,S&P 500
12/23/2012,"1,402.40","1,430.20","1,430.20","1,401.60",,-1.94%,S&P 500
12/16/2012,"1,430.20","1,413.50","1,448.00","1,413.50",,1.17%,S&P 500
12/9/2012,"1,413.60","1,418.10","1,438.60","1,411.90",,-0.32%,S&P 500
12/2/2012,"1,418.10","1,416.30","1,423.70","1,398.20",,0.13%,S&P 500
11/25/2012,"1,416.20","1,409.20","1,419.70","1,385.40",,0.50%,S&P 500
11/18/2012,"1,409.20","1,359.90","1,409.20","1,359.90",,3.63%,S&P 500
11/11/2012,"1,359.90","1,379.90","1,388.80","1,343.30",,-1.44%,S&P 500
11/4/2012,"1,379.80","1,414.00","1,433.40","1,373.00",,-2.43%,S&P 500
10/28/2012,"1,414.20","1,411.00","1,434.30","1,406.00",,0.16%,S&P 500
10/21/2012,"1,411.90","1,433.20","1,435.50","1,403.30",,-1.49%,S&P 500
10/14/2012,"1,433.20","1,428.80","1,464.00","1,427.20",,0.32%,S&P 500
10/7/2012,"1,428.60","1,460.90","1,460.90","1,425.50",,-2.21%,S&P 500
9/30/2012,"1,460.90","1,440.90","1,471.00","1,439.00",,1.40%,S&P 500
9/23/2012,"1,440.70","1,459.80","1,463.20","1,430.50",,-1.34%,S&P 500
9/16/2012,"1,460.20","1,465.40","1,467.10","1,450.00",,-0.38%,S&P 500
9/9/2012,"1,465.80","1,437.90","1,474.50","1,429.00",,1.94%,S&P 500
9/2/2012,"1,437.90","1,406.50","1,437.90","1,396.60",,2.23%,S&P 500
8/26/2012,"1,406.60","1,411.10","1,416.20","1,397.00",,-0.32%,S&P 500
8/19/2012,"1,411.10","1,417.80","1,426.70","1,398.00",,-0.50%,S&P 500
8/12/2012,"1,418.20","1,405.90","1,418.70","1,397.30",,0.87%,S&P 500
8/5/2012,"1,405.90","1,391.00","1,407.10","1,391.00",,1.07%,S&P 500
7/29/2012,"1,391.00","1,385.90","1,394.20","1,354.70",,0.36%,S&P 500
7/22/2012,"1,386.00","1,362.30","1,389.20","1,329.20",,1.71%,S&P 500
7/15/2012,"1,362.70","1,356.50","1,380.40","1,345.10",,0.43%,S&P 500
